epoch,dice_coef,iou_metric,learning_rate,loss,val_dice_coef,val_iou_metric,val_loss
0,0.018067097291350365,0.04027659446001053,9.999999747378752e-05,0.9176227450370789,0.0003611882566474378,0.8325123190879822,0.9983899593353271
1,0.031712647527456284,0.10535087436437607,9.999999747378752e-05,0.8625553250312805,0.00036460490082390606,0.7980295419692993,0.9985684752464294
2,0.04216986522078514,0.1158328577876091,9.999999747378752e-05,0.8251087665557861,0.0037598712369799614,0.05483033135533333,0.9860109090805054
3,0.06086372584104538,0.16219836473464966,9.999999747378752e-05,0.7668312788009644,0.0055838986299932,0.09205000847578049,0.9806021451950073
4,0.09121707826852798,0.18285208940505981,9.999999747378752e-05,0.686090886592865,0.006247099954634905,0.03178400918841362,0.9789603352546692
5,0.1258644014596939,0.2125837206840515,9.999999747378752e-05,0.6103188395500183,0.009189660660922527,0.10485865920782089,0.9730494618415833
6,0.16254061460494995,0.20558597147464752,9.999999747378752e-05,0.5477517247200012,0.00791231170296669,0.4107097387313843,0.9802136421203613
7,0.2094968557357788,0.2474900633096695,9.999999747378752e-05,0.4817214608192444,0.00910706166177988,0.5912480354309082,0.98191237449646
8,0.2598995864391327,0.2691096365451813,9.999999747378752e-05,0.4227113723754883,0.018380744382739067,0.1254923939704895,0.956979513168335
9,0.3002908527851105,0.28259581327438354,9.999999747378752e-05,0.38666844367980957,0.02184569463133812,0.2636522352695465,0.9553447961807251
10,0.3259601593017578,0.2862720787525177,9.999999747378752e-05,0.3641473650932312,0.023970765992999077,0.09661717712879181,0.9520289301872253
11,0.3695948123931885,0.3132965564727783,9.999999747378752e-05,0.3232506513595581,0.025143640115857124,0.17027021944522858,0.9489544630050659
12,0.39140695333480835,0.3147370219230652,9.999999747378752e-05,0.3130794167518616,0.025185808539390564,0.2498243898153305,0.9576749205589294
13,0.411947637796402,0.3224621117115021,9.999999747378752e-05,0.29962867498397827,0.0233549065887928,0.4215772747993469,0.9519558548927307
14,0.4208732843399048,0.32315394282341003,9.999999747378752e-05,0.2955635190010071,0.020064285025000572,0.3941495418548584,0.9585465788841248
15,0.44754621386528015,0.33928272128105164,9.999999747378752e-05,0.27229467034339905,0.02617758885025978,0.15291664004325867,0.9485819339752197
16,0.4629315733909607,0.3503940999507904,9.999999747378752e-05,0.2656457722187042,0.028316356241703033,0.47169676423072815,0.9559853076934814
17,0.4647218883037567,0.3444870412349701,9.999999747378752e-05,0.26303908228874207,0.03214208781719208,0.4431847333908081,0.9429869055747986
18,0.48660755157470703,0.36092790961265564,9.999999747378752e-05,0.25326353311538696,0.029669219627976418,0.2877998650074005,0.9440673589706421
19,0.48125913739204407,0.35021546483039856,9.999999747378752e-05,0.25114214420318604,0.030450968071818352,0.48651671409606934,0.9470094442367554
20,0.4825383126735687,0.34874728322029114,9.999999747378752e-05,0.25595828890800476,0.014967660419642925,0.08790085464715958,0.961424708366394
21,0.5094220042228699,0.37240269780158997,9.999999747378752e-05,0.23541882634162903,0.036171041429042816,0.49299463629722595,0.9420205950737
22,0.5114388465881348,0.3700755834579468,9.999999747378752e-05,0.23140668869018555,0.035469572991132736,0.3901463449001312,0.9396892786026001
23,0.5122343897819519,0.3699565529823303,9.999999747378752e-05,0.23569147288799286,0.04267573356628418,0.4144589602947235,0.9403704404830933
24,0.5202553868293762,0.37662988901138306,9.999999747378752e-05,0.23035164177417755,0.04230513796210289,0.5067445039749146,0.9372308254241943
25,0.5096801519393921,0.3644813597202301,9.999999747378752e-05,0.24176105856895447,0.02120276913046837,0.26507750153541565,0.9538436532020569
26,0.5151662230491638,0.36994385719299316,9.999999747378752e-05,0.23855116963386536,0.02966797724366188,0.33090099692344666,0.944294810295105
27,0.5420302152633667,0.39176857471466064,9.999999747378752e-05,0.21383334696292877,0.038585588335990906,0.21460436284542084,0.9368488788604736
28,0.5173143744468689,0.368499755859375,9.999999747378752e-05,0.23359067738056183,0.0354449562728405,0.41391369700431824,0.9405321478843689
29,0.5156965851783752,0.3662511110305786,9.999999747378752e-05,0.23610344529151917,0.032107457518577576,0.48450496792793274,0.9462475776672363
30,0.5360095500946045,0.38438814878463745,9.999999747378752e-05,0.21595998108386993,0.03806949779391289,0.4449427127838135,0.9406995177268982
31,0.5397769212722778,0.3849773108959198,9.999999747378752e-05,0.21614837646484375,0.037643913179636,0.35241758823394775,0.9420058727264404
32,0.5402630567550659,0.3876619338989258,9.999999747378752e-05,0.2197224199771881,0.03219464793801308,0.4400891065597534,0.940816342830658
33,0.5530092120170593,0.39810752868652344,4.999999873689376e-05,0.20497417449951172,0.03783518821001053,0.4893221855163574,0.9365848302841187
34,0.568824827671051,0.4126260578632355,4.999999873689376e-05,0.1945982575416565,0.03900139033794403,0.4902563989162445,0.9345515966415405
35,0.5564562678337097,0.40224194526672363,4.999999873689376e-05,0.20231576263904572,0.03766610845923424,0.41619011759757996,0.9449652433395386
