epoch,dice_coef,iou_metric,learning_rate,loss,val_dice_coef,val_iou_metric,val_loss
0,0.028541138395667076,0.06655004620552063,9.999999747378752e-05,0.8810458183288574,0.005498587153851986,0.020324349403381348,0.9812179207801819
1,0.12881962954998016,0.15801876783370972,9.999999747378752e-05,0.639144241809845,0.016042010858654976,0.05787542089819908,0.9630611538887024
2,0.27332833409309387,0.22427184879779816,9.999999747378752e-05,0.4615755081176758,0.023775000125169754,0.35775071382522583,0.9520768523216248
3,0.3621984124183655,0.2643936574459076,9.999999747378752e-05,0.38080525398254395,0.016666769981384277,0.6184298992156982,0.9711609482765198
4,0.4072488844394684,0.2879676818847656,9.999999747378752e-05,0.3504374325275421,0.03150755912065506,0.5343202352523804,0.948883593082428
5,0.4374777376651764,0.3064967095851898,9.999999747378752e-05,0.32708626985549927,0.024160979315638542,0.5237621665000916,0.9718224406242371
6,0.4510844349861145,0.3142184317111969,9.999999747378752e-05,0.3153347969055176,0.03148163482546806,0.13910575211048126,0.9486993551254272
7,0.45627543330192566,0.3173082172870636,9.999999747378752e-05,0.31407469511032104,0.035922445356845856,0.3844796419143677,0.9467893242835999
8,0.49124789237976074,0.34635427594184875,9.999999747378752e-05,0.2840158939361572,0.0334315299987793,0.23516376316547394,0.9630441665649414
9,0.4882960617542267,0.34201422333717346,9.999999747378752e-05,0.2826271653175354,0.0245760977268219,0.41447579860687256,0.9522098302841187
10,0.509795069694519,0.36068934202194214,9.999999747378752e-05,0.26988375186920166,0.03862805292010307,0.27645182609558105,0.937947690486908
11,0.5049647688865662,0.35662025213241577,9.999999747378752e-05,0.2699224650859833,0.043208010494709015,0.5515168905258179,0.945830762386322
12,0.5265644788742065,0.3751867711544037,9.999999747378752e-05,0.25149476528167725,0.029761716723442078,0.5867806673049927,0.9573819637298584
13,0.5211652517318726,0.3709636628627777,9.999999747378752e-05,0.25745460391044617,0.033596672117710114,0.47557124495506287,0.9420680403709412
14,0.5437377095222473,0.39167875051498413,9.999999747378752e-05,0.24040035903453827,0.04224829748272896,0.42181870341300964,0.9357685446739197
15,0.5290518403053284,0.3779398798942566,9.999999747378752e-05,0.2485823780298233,0.030829116702079773,0.6311430335044861,0.9549655914306641
16,0.551084041595459,0.39776796102523804,9.999999747378752e-05,0.2333730310201645,0.038152970373630524,0.08401697874069214,0.9440045952796936
17,0.5533666014671326,0.399625688791275,9.999999747378752e-05,0.22813422977924347,0.04283967614173889,0.5454517006874084,0.9372748732566833
18,0.5682797431945801,0.4128834009170532,9.999999747378752e-05,0.2192443609237671,0.03653459995985031,0.4050476849079132,0.9506002068519592
19,0.5742284059524536,0.41977956891059875,9.999999747378752e-05,0.21672983467578888,0.04120742157101631,0.5006479620933533,0.9396630525588989
20,0.5934672951698303,0.4372963011264801,4.999999873689376e-05,0.1962713599205017,0.04987819492816925,0.5416006445884705,0.9333911538124084
21,0.5899765491485596,0.43302178382873535,4.999999873689376e-05,0.19949224591255188,0.034464336931705475,0.5792640447616577,0.9516714811325073
22,0.5978091359138489,0.44079500436782837,4.999999873689376e-05,0.19252030551433563,0.0437001958489418,0.4400719404220581,0.9438524842262268
23,0.6108695268630981,0.45370787382125854,4.999999873689376e-05,0.17918728291988373,0.027995765209197998,0.5416591167449951,0.9694436192512512
24,0.6120486259460449,0.4552307724952698,4.999999873689376e-05,0.181884765625,0.03648877143859863,0.562825083732605,0.9517480134963989
25,0.619926393032074,0.4629870057106018,4.999999873689376e-05,0.17711637914180756,0.03752732276916504,0.5769169926643372,0.9479371905326843
26,0.6268545985221863,0.46912598609924316,2.499999936844688e-05,0.16984900832176208,0.03349174186587334,0.5597113370895386,0.95536208152771
27,0.6341965794563293,0.47689691185951233,2.499999936844688e-05,0.16637013852596283,0.03666416183114052,0.5962314605712891,0.9514229893684387
28,0.6345857381820679,0.4774877429008484,2.499999936844688e-05,0.16567321121692657,0.03544401377439499,0.5575169324874878,0.9567597508430481
29,0.6443749666213989,0.4869108498096466,2.499999936844688e-05,0.1566384732723236,0.03430172801017761,0.5465340614318848,0.9609359502792358
30,0.6417193412780762,0.48363763093948364,2.499999936844688e-05,0.15874633193016052,0.03915321081876755,0.5539529323577881,0.9457918405532837
31,0.6486012935638428,0.49187830090522766,1.249999968422344e-05,0.15630218386650085,0.03415495157241821,0.6000056266784668,0.9583597183227539
32,0.6504449248313904,0.4929138422012329,1.249999968422344e-05,0.15480954945087433,0.02942519634962082,0.6312227249145508,0.9674265384674072
